,Trddt,Unnamed: 0,year,month,beta,BP,earningsfactor,leveragefactor,RSTR,Non-Linear Size,residualvolatilityfactor,Size,ret+1,Msmvosd
32,2015-11-01,55923.971399999995,1871.9753,10.21922,-0.9560487329024125,0.9086210907675704,0.7229376783991351,0.10633876245598407,-0.575827706037757,2.5361361629999615,-0.2565116911203371,2.3181194340084748,0.01732245686,0.004002089224974333
33,2015-12-01,58140.96822999999,1884.64965,11.22372,-0.6394619321975563,0.9003292446407659,0.5816727078975196,0.10050929832157525,-0.5866815390525117,2.566049587571131,-0.32640764480720286,2.3591568529544777,0.0584461807,0.003780605774019077
34,2016-01-01,57681.25281,1810.75104,0.89819,-1.0939446842829768,0.9559532739807265,0.5995442514079345,0.07970847665141736,-0.09219255836581287,2.6202186838904695,-0.41612436353515436,2.3785872732476747,-0.18633728934,0.0043664895802434465
35,2016-02-01,59652.77465000001,1815.14592,1.8007400000000002,-1.181328926215269,1.0128673526170624,0.5953560616915353,0.09394034797276081,-0.0532050152883884,2.6320940373434447,-0.37407518748661794,2.387580948252801,-0.01715171739,0.004438175367284499
36,2016-03-01,61754.90780999999,1822.8470399999999,2.71257,-1.0239422080790397,1.062528716216625,0.5889419973325158,0.08787386073777043,-0.3839079111633785,2.579927869147389,-0.34467428570580777,2.35130307320967,0.11981676592999999,0.004094829732902795
37,2016-04-01,63691.60154000001,1825.1855999999998,3.6214000000000004,-1.0735110751495325,1.073603822072666,0.6226083887991043,0.06852387950778972,-0.3719018278089685,2.6295377656671586,-0.2695450676877586,2.397768105665774,-0.013429916889999999,0.004205978340580327
38,2016-05-01,65921.82158,1835.6688,4.55275,-1.0724771874059265,0.9821375570431425,0.6195441745287027,0.039116497511625256,-0.21824715803528727,2.6327779753540206,-0.3697377610150221,2.3904658947214052,0.00754996091,0.004283399587023449
39,2016-06-01,67780.37488,1835.85024,5.46384,-0.8786763977097873,0.9699908092280409,0.6286825133460977,0.13359840225724812,-0.422003262764048,2.571175568433386,-0.2537250861390805,2.3414426714166208,0.00539433884,0.004007563212910872
40,2016-07-01,71035.07935,1872.62208,6.50216,-0.8697170156116489,0.9666293703688358,0.68661409372429,0.13816457895955633,-0.16941614523727805,2.644072291486369,-0.4707231938203977,2.4085695808662537,0.033646299830000004,0.004046425832595894
41,2016-08-01,72981.59112,1873.0454399999999,7.43272,0.31781526798382376,1.0030852578501244,0.6779531824319625,0.1607259303803927,-0.19447928077135584,2.6772137196114194,-0.40696105309743813,2.4382316632683843,0.044144328340000004,0.004070314103619325
42,2016-09-01,75173.99084,1879.33536,8.389890000000001,0.19471260015709158,1.0786330715202244,0.700356993181765,0.16137554547226712,-0.25332567352767,2.7206698062435506,-0.4350424025922287,2.4795798688140467,-0.017651666589999997,0.004106342925915012
43,2016-10-01,77512.46263,1888.16544,9.3659,0.2633252150822669,1.1123488239357147,0.6943744526995277,0.14536479556887355,-0.25777778754140723,2.7158181023543806,-0.4604877371412982,2.4808714522599296,0.026461677090000003,0.004040752268244534
44,2016-11-01,78065.80749,1854.6796799999997,10.11978,0.2520975730329372,1.103554814994204,0.6797789678370485,0.15140913591004068,-0.24958042915358947,2.6624377396542656,-0.4678912507518064,2.433369212698711,0.053790772390000005,0.004008704043758568
